lfc_F,lfc_M,symbol
4.426565583418631,-0.1282197714226553,SLC22A4
2.4176411849543755,-0.02068403054448774,PGD
2.7926082048352865,0.11580214179021105,MSRB1
4.386975401623206,0.13433393466770024,KIAA0226L
4.061163428734647,-1.2229576377363462,LGALS12
2.8032788447591637,-0.3930905933289395,TLR7
2.2645639448833808,1.958519316158047,OVCH1-AS1
3.3657823332387333,-1.3894933846523414,SYNGR1
2.58688127750516,-0.007859532848090088,C3AR1
2.572303168275323,-0.24042261407942755,TCF7L2
2.7589669494126947,-0.4073408851998609,STX11
3.20081481723315,0.026323906950490247,TBC1D12
2.0028873885337757,0.48468494296823383,ATP6V0A1
1.6657620297183928,-0.5793511864114677,SLC25A20
2.4811293127938643,0.2832506572850098,SCARB1
3.4480559877407555,-0.3921910249389995,GOLIM4
2.3832262047895605,0.21103702632073845,UBE2E2
2.6510683493307545,-0.0020490838700169085,FCGRT
2.5877894598212046,-0.131194674513962,CD74
3.8490365104928435,-1.0103839338282463,RPL7AP64
2.588906081219478,0.027661040851380693,NFIL3
2.472240567360779,0.11772100676634058,CEBPB
2.559151016568132,-0.31292332240069887,LTBR
2.101568645515041,-0.36140107022808554,NIPAL2
2.259365570716756,-0.3050011278066135,KCNC3
2.441035881972706,-0.11189465064376704,TLR5
2.394417024342478,0.0020927899927306614,BAIAP2-AS1
1.6701253123729545,-0.37594066641087764,KLF11
3.306095374110163,-0.21152485556696896,IGF2BP2
-5.873140751008802,-5.090452362486263,TUSC3
2.1634523651021973,0.13015519259844333,MEGF9
2.363435971763869,0.26212825978270726,CREG1
1.777911695030297,0.037707071496945944,AC005301.5
2.6920229764563546,0.670858608496233,CTBP2
2.190153191995214,0.13907266507259264,CKAP4
4.044574644247029,-0.4346676395069638,SH3RF1
1.5701931379745482,0.00028881134690612555,HLA-L
2.741558407030975,-0.025560630089325673,NCF1B
2.2737961796593176,-0.04138695730273509,IFNGR2
3.0014658221867765,0.31967028547802956,ICAM4
